did,snippet_id,var_name,cognitive_complexity,value,pl,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL,MI,MIMS,MISEI,MISM,McCC,NL,NLE,NII,NOI,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR
10,103,10_duration,0,23.791,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,12,10,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,4,0,0
10,104,10_duration,0,8.145,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,12,10,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,5,0,0
10,105,10_duration,0,8.95,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,11,9,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,5,0,0
10,106,10_duration,0,13.573,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,12,10,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,5,0,0
10,107,10_duration,0,24.038,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,14,12,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,5,0,0
10,108,10_duration,0,22.417,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,14,12,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,5,0,0
10,109,10_duration,1,14.846,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,19,12,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,5,7,0,0
10,11,10_duration,4,19.124,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,17,14,NA,NA,0,0,0,0,4,1,1,0,1,0,0,0,0,0,7,7,0,0
10,110,10_duration,1,15.9825,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,20,13,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,5,7,0,0
10,111,10_duration,1,30.021,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,27,15,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,6,8,0,0
10,112,10_duration,1,27.566,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,28,16,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,6,8,0,0
10,113,10_duration,1,29.855,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,28,15,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,5,7,0,0
10,114,10_duration,1,25.171,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,29,16,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,5,7,0,0
10,115,10_duration,0,12.3105,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,17,12,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,7,0,0
10,116,10_duration,0,15.88,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,18,13,NA,NA,0,0,0,0,1,0,0,0,2,0,0,0,0,0,5,7,0,0
10,117,10_duration,2,25.161,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,36,21,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,11,14,0,0
10,118,10_duration,4,42.649,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,57,28,NA,NA,0,0,0,0,3,1,1,0,1,0,0,0,0,0,16,19,0,0
10,119,10_duration,0,18.092,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,18,12,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,7,0,0
10,12,10_duration,4,13.298,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,17,14,NA,NA,0,0,0,0,4,1,1,0,1,0,0,0,0,0,7,7,0,0
10,120,10_duration,0,22.478,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,16,11,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,7,0,0
10,121,10_duration,1,14.679,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,23,14,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,7,9,0,0
10,122,10_duration,1,14.988,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,23,14,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,7,9,0,0
10,123,10_duration,1,16.176,C++,1,1,2,1,1,1,11,7,NA,NA,NA,NA,29,16,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,9,11,0,0
